Year,State,StateCode,MedianHousePrice
2018,Australian Capital Territory,ACT,687000
2018,New South Wales,NSW,675000
2018,Queensland,QLD,490000
2018,Victoria,VIC,605000
2018,South Australia,SA,415000
2018,Western Australia,WA,460000
2018,Tasmania,TAS,333000
2018,Northern Territory,NT,485000
2019,Australian Capital Territory,ACT,705000
2019,New South Wales,NSW,650000
2019,Queensland,QLD,490000
2019,Victoria,VIC,600000
2019,South Australia,SA,425000
2019,Western Australia,WA,450000
2019,Tasmania,TAS,355000
2019,Northern Territory,NT,475000
2020,Australian Capital Territory,ACT,717500
2020,New South Wales,NSW,680000
2020,Queensland,QLD,492000
2020,Victoria,VIC,620000
2020,South Australia,SA,425000
2020,Western Australia,WA,445000
2020,Tasmania,TAS,385000
2020,Northern Territory,NT,457000
2021,Australian Capital Territory,ACT,815000
2021,New South Wales,NSW,750000
2021,Queensland,QLD,525000
2021,Victoria,VIC,665000
2021,South Australia,SA,450000
2021,Western Australia,WA,485000
2021,Tasmania,TAS,440000
2021,Northern Territory,NT,510000
2022,Australian Capital Territory,ACT,1020000
2022,New South Wales,NSW,929000
2022,Queensland,QLD,617000
2022,Victoria,VIC,780000
2022,South Australia,SA,537500
2022,Western Australia,WA,502000
2022,Tasmania,TAS,575000
2022,Northern Territory,NT,565000
2023,Australian Capital Territory,ACT,995000
2023,New South Wales,NSW,950000
2023,Queensland,QLD,652000
2023,Victoria,VIC,750000
2023,South Australia,SA,602000
2023,Western Australia,WA,540000
2023,Tasmania,TAS,599000
2023,Northern Territory,NT,560000
