Year,StateCode,MedianIncome
2016,NSW,49256
2016,VIC,47469
2016,QLD,47177
2016,SA,46619
2016,WA,52691
2016,TAS,44135
2016,NT,56783
2016,ACT,64872
2017,NSW,49815
2017,VIC,48219
2017,QLD,47697
2017,SA,47302
2017,WA,52069
2017,TAS,44680
2017,NT,55976
2017,ACT,64654
2018,NSW,51612
2018,VIC,50019
2018,QLD,49451
2018,SA,49109
2018,WA,53956
2018,TAS,46080
2018,NT,57912
2018,ACT,66507
2019,NSW,53291
2019,VIC,51688
2019,QLD,50925
2019,SA,50571
2019,WA,55234
2019,TAS,47661
2019,NT,59257
2019,ACT,68462
2020,NSW,55266
2020,VIC,53323
2020,QLD,52394
2020,SA,51811
2020,WA,56975
2020,TAS,49100
2020,NT,60122
2020,ACT,70814
